t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
3921,game,3,,,0,1,,,21,2,,,0,,,ok,1,0,2,1,,,1,10,150
3923,game,3,,,0,1,,,21,2,,,0,,,ok,1,1,2,1,,,1,10,150
3923,game,3,,,0,1,,,21,2,,,0,,,ok,1,1,2,1,,,1,10,150
3951,game,3,,,0,1,,,21,2,,,0,,,ok,1,1,2,1,,,1,10,150
4022,game,3,,,0,1,,,21,2,,,0,,,ok,1,2,2,1,,,1,10,150
4023,game,3,,,0,1,,,21,2,,,0,,,ok,1,3,2,1,,,1,10,150
4026,game,3,,,0,1,,,21,2,,,0,,,ok,1,3,2,1,,,1,10,150
4053,game,3,,,0,1,,,21,2,,,0,,,ok,1,4,2,1,,,1,10,150
4128,game,3,,,0,1,,,21,2,,,0,,,ok,1,5,2,1,,,1,10,150
4227,game,3,,,0,1,,,21,2,,,0,,,ok,1,6,2,1,,,1,10,150
4228,game,3,,,0,1,,,21,2,,,0,,,ok,1,7,2,1,,,1,10,150
4229,game,3,,,0,1,,,21,2,,,0,,,ok,1,7,2,1,,,1,10,150
4273,game,3,,,0,1,,,21,2,,,0,,,ok,1,7,2,1,,,1,10,150
4274,game,3,,,0,1,,,21,2,,,0,,,ok,1,8,2,1,,,1,10,150
4275,game,3,,,0,1,,,21,2,,,0,,,ok,1,8,2,1,,,1,10,150
4328,game,3,,,0,1,,,21,2,,,0,,,ok,1,9,2,1,,,1,10,150
4333,game,3,,,0,1,,,21,2,,,0,,,ok,1,9,2,1,,,1,10,150
4363,game,3,,,0,1,,,21,2,,,0,,,ok,1,9,2,1,,,1,10,150
4364,game,3,,,0,1,,,21,2,,,0,,,ok,1,10,2,1,,,1,10,150
4432,game,3,,,0,1,,,21,2,,,0,,,ok,1,11,2,1,,,1,10,150
4432,game,3,,,0,1,,,21,2,,,0,,,ok,1,11,2,1,,,1,10,150
4451,game,3,,,0,1,,,21,2,,,0,,,ok,1,11,2,1,,,1,10,150
4453,game,3,,,0,1,,,21,2,,,0,,,ok,1,12,2,1,,,1,10,150
4535,game,3,,,0,1,,,21,2,,,0,,,ok,1,13,2,1,,,1,10,150
4545,game,3,,,0,1,,,21,2,,,0,,,ok,1,14,2,1,,,1,10,150
4549,game,3,,,0,1,,,21,2,,,0,,,ok,1,15,2,1,,,1,10,150
4637,game,3,,,0,1,,,21,2,,,0,,,ok,1,16,2,1,,,1,10,150
4642,game,3,,,0,1,,,21,2,,,0,,,ok,1,17,2,1,,,1,10,150
4651,game,3,,,0,1,,,21,2,,,0,,,ok,1,18,2,1,,,1,10,150
4652,game,3,,,0,1,,,21,2,,,0,,,ok,1,18,2,1,,,1,10,150
4739,game,3,,,0,1,,,21,2,,,0,,,ok,1,19,2,1,,,1,10,150
4757,game,3,,,0,1,,,21,2,,,0,,,ok,1,20,2,1,,,1,10,150
